Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Admiralty,2024,6,1,     7.4,     2.8,     4.0,     5.4,    27.2,    29.4,    25.4,     5.3,    31.7
Admiralty,2024,6,2,    39.0,    16.2,    27.4,    34.6,    26.9,    32.0,    23.6,     5.2,    29.4
Admiralty,2024,6,3,    44.6,    37.8,    43.6,    44.4,    27.7,    34.3,    23.4,     5.0,    46.9
Admiralty,2024,6,4,     0.0,     0.0,     0.0,     0.0,    28.6,    33.9,    26.2,     5.1,    25.6
Admiralty,2024,6,5,     0.0,     0.0,     0.0,     0.0,    29.9,    34.5,    26.4,     5.0,    22.4
Admiralty,2024,6,6,    34.4,    13.2,    24.4,    34.0,    28.3,    33.2,    24.7,     7.4,    38.2
Admiralty,2024,6,7,    10.4,    10.0,    10.2,    10.2,    28.4,    33.2,    26.1,     4.5,    37.0
Admiralty,2024,6,8,     0.0,     0.0,     0.0,     0.0,    28.6,    31.5,    27.0,     5.0,    28.2
Admiralty,2024,6,9,     0.2,     0.2,     0.2,     0.2,    29.1,    33.0,    26.5,     5.2,    28.2
Admiralty,2024,6,10,     0.4,     0.2,     0.2,     0.2,    29.0,    33.1,    26.9,     5.5,    39.3
Admiralty,2024,6,11,    26.0,    20.6,    25.8,    26.0,    28.5,    35.5,    22.9,     5.9,    61.1
Admiralty,2024,6,12,     3.4,     2.8,     3.4,     3.4,    28.3,    32.4,    25.4,     5.2,    27.0
Admiralty,2024,6,13,     0.8,     0.6,     0.6,     0.6,    29.2,    35.3,    26.2,     5.4,    28.2
Admiralty,2024,6,14,     2.8,     1.2,     2.2,     2.6,    28.0,    33.5,    26.3,     4.9,    36.3
Admiralty,2024,6,15,     0.0,     0.0,     0.0,     0.0,    28.6,    31.8,    26.1,     5.8,    26.3
Admiralty,2024,6,16,    42.4,    30.6,    41.0,    41.8,    28.1,    33.3,    22.6,     5.2,    33.2
Admiralty,2024,6,17,     0.6,     0.6,     0.6,     0.6,    27.9,    32.3,    25.1,     9.2,    43.2
Admiralty,2024,6,18,     0.0,     0.0,     0.0,     0.0,    28.4,    33.1,    26.3,     5.4,    27.0
Admiralty,2024,6,19,     1.0,     0.4,     0.4,     0.4,    28.5,    30.8,    26.3,     5.6,    25.9
Admiralty,2024,6,20,     0.0,     0.0,     0.0,     0.0,    28.9,    33.2,    25.2,     6.6,    53.3
Admiralty,2024,6,21,    46.8,    25.0,    30.8,    37.8,    26.9,    30.2,    22.3,     8.5,    47.2
Admiralty,2024,6,22,    27.8,    13.2,    17.6,    22.0,    25.8,    28.4,    22.7,     7.9,    49.3
Admiralty,2024,6,23,     0.0,     0.0,     0.0,     0.0,    28.4,    32.7,    25.5,     6.6,    25.9
Admiralty,2024,6,24,     0.0,     0.0,     0.0,     0.0,    29.2,    33.5,    26.8,     6.1,    29.4
Admiralty,2024,6,25,    18.0,     8.8,    15.8,    17.8,    28.5,    33.5,    25.3,     5.9,    38.2
Admiralty,2024,6,26,    20.6,    12.0,    12.4,    16.8,    28.5,    32.7,    24.1,     7.7,    38.5
Admiralty,2024,6,27,     0.0,     0.0,     0.0,     0.0,    28.4,    31.7,    25.8,     7.3,    28.2
Admiralty,2024,6,28,    28.8,    17.8,    28.2,    28.8,    28.6,    33.6,    24.5,     5.7,    45.4
Admiralty,2024,6,29,     2.2,     1.6,     1.8,     2.0,    28.6,    33.7,    26.2,     5.2,    18.3
Admiralty,2024,6,30,    25.8,     6.4,     8.4,    14.8,    26.0,    28.8,    23.7,     7.0,    36.7